,Disposition effect,Selling winning investments early,,1. Holding winners for full upside; 2. Selling losers to minimize loss; 3. Evidence-based trading independent of gain/loss; 4. Realizing losses appropriately; 5. Maintaining diverse portfolio; 6. Letting winners run; 7. Cutting losses decisively; 8. Rebalancing based on fundamentals; 9. Selling based on valuation; 10. Tax-loss harvesting strategically.,1. Selling winner to lock in gains; 2. Holding loser expecting recovery; 3. Taking quick profit on successful stocks; 4. Reluctance to realize losses on bad stocks; 5. Exiting winners prematurely; 6. Maintaining losing position despite evidence; 7. Selling successful investment too early; 8. Holding underwater investment avoiding loss realization; 9. Taking quick profit despite further upside; 10. Avoiding loss realization by holding.,He sold profitable stocks quickly.,She kept failing shares.,Traders locked gains prematurely.,Investors avoided realizing losses.,Portfolios stagnated.,He followed strategy.,She cut losses.,Traders rebalanced.
,Zero-risk bias,Preferring complete elimination of small risks over reducing larger risks.,,1. Paying premium for 100% safe product over 99% safer; 2. Eliminating one risk while ignoring larger risks; 3. Choosing zero-risk option despite marginal difference; 4. Prioritizing impossibly rare risk over common risk; 5. Paying for complete risk elimination; 6. Avoiding minor risk while accepting major; 7. Demanding perfect safety over practical improvement; 8. Choosing 0% risk over 95% risk reduction; 9. Misspending resources on tiny risk; 10. Seeking impossible zero-risk guarantee.,1. Rational risk-reduction prioritization; 2. Focusing on larger risks; 3. Proportional resource allocation; 4. Accepting manageable risk; 5. Optimizing safety improvements; 6. Addressing major threats first; 7. Practical risk management; 8. 90% risk reduction over zero-seeking; 9. Cost-effective risk management; 10. Accepting residual risk rationally.,Parents demanded zero peanut policies.,Cities overfunded rare hazards.,Patients chose zero-risk surgery.,Managers eliminated tiny defects.,Consumers bought unnecessary insurance.,Parents prioritized biggest dangers.,Cities ranked risks.,Patients reviewed outcomes.
,Generation effect,Information remembered better when self-generated.,,1. Remembering ideas you generated better than identical ideas told; 2. Better retention of answers you figured out; 3. Remembering problems you solved better; 4. Better recall of insights you discovered; 5. Remembering names you researched better; 6. Better retention of self-taught skills; 7. Remembering information you looked up better; 8. Better recall of personally developed strategies; 9. Remembering solutions you created yourself; 10. Better retention of self-generated examples.,1. Equal retention of heard vs. generated; 2. Learning well from lectures; 3. Reading retention equals discovery; 4. Remembering taught information well; 5. Equal memory for passive versus active; 6. Retention independent of generation; 7. Learning equally from all methods; 8. Passive learning as effective; 9. Taught solutions retained equally; 10. Equal memory regardless of source.,Students remembered answers they wrote.,She recalled self-made flashcards.,He learned lyrics by composing.,Teams remembered brainstormed ideas.,Kids recalled invented stories.,Students reread notes.,She used recordings.,He memorized externally.
,Processing difficulty effect,Harder-to-process information feels more valuable or memorable.,,1. Difficult-to-read font makes information seem important; 2. Complex writing seems more authoritative; 3. Hard-to-understand argument seems deeper; 4. Obscured information seems more significant; 5. Rare words seem more meaningful; 6. Unfamiliar accents make speech seem profound; 7. Slower-spoken information seems more important; 8. Hard-to-find information seems more true; 9. Difficult problems seem more valuable; 10. Fluency reduction makes information more memorable.,"1. Clear, simple information retains value; 2. Easy-to-read content understood equally; 3. Simple explanations are clearest; 4. Transparent writing builds trust; 5. Common words communicate effectively; 6. Clear accents are understood best; 7. Normal speech rates retain message; 8. Easy-to-find information is equally reliable; 9. Simple problems solved effectively; 10. Fluent presentation aids comprehension.",Blurred slides seemed deeper.,Complex fonts felt smarter.,Dense articles impressed readers.,Messy notes felt meaningful.,Cryptic quotes sounded profound.,Clear slides helped learning.,Simple fonts aided recall.,Plain articles persuaded.
,IKEA effect,Valuing self-assembled products more than identical preassembled ones.,,1. Overvaluing furniture you assembled; 2. Rating self-built bookshelf higher than store-bought equivalent; 3. Treasuring DIY project over professional equivalent; 4. Overvaluing self-made meal; 5. Preferring self-painted artwork; 6. Overvaluing self-constructed furniture; 7. Rating self-assembled equipment higher; 8. Treasuring self-made gifts; 9. Overvaluing self-built computer; 10. Rating self-assembled product as superior.,1. Valuing products by actual quality; 2. Professional assembly valued equally; 3. Quality independent of assembly; 4. Recognizing actual craftsmanship quality; 5. Fair assessment of finished product; 6. Professional meals valued equally; 7. Recognizing actual artistic skill; 8. Purchased products valued fairly; 9. Quality independent of self-assembly; 10. Objective product valuation.,,She loved handmade shelf.,Students favored group posters.,Parents cherished DIY crafts.,Gamers valued custom builds.,He bought ready furniture.,She preferred store shelves.,Students accepted printed posters. instead of making them themse
,Loss aversion,Losses feel psychologically stronger than equivalent gains.,,1. Fear of losing $100 outweighs joy of gaining $100; 2. Reluctance to sell losing stock despite equal gain potential; 3. Holding losing position to avoid loss realization; 4. Risk-averse despite favorable odds; 5. Refusing beneficial change due to loss fear; 6. Avoiding trade despite equal benefit; 7. Keeping underperforming investment from loss aversion; 8. Reluctance to leave comfortable job; 9. Avoiding necessary medical procedure from loss aversion; 10. Loss discomfort prevents optimal decision.,1. Recognizing gain and loss equally; 2. Selling when fundamentals warrant; 3. Realizing losses appropriately; 4. Taking favorable risks; 5. Making beneficial changes; 6. Trading for improvement; 7. Replacing underperformers; 8. Making career moves strategically; 9. Accepting necessary losses; 10. Loss and gain psychologically equivalent.,He avoided investing fearing losses.,She hated losing five dollars.,Players quit after small setbacks.,Managers resisted cuts.,Students feared grade drops.,He accepted risks.,She focused gains.,Players persisted.
,Escalation of commitment,Continuing failing actions due to previous investments.,,1. Continuing failing project due to invested time; 2. Staying in bad relationship due to years invested; 3. Throwing good money after bad; 4. Maintaining failing business due to sunk costs; 5. Continuing education despite wrong fit; 6. Holding losing stocks to recover investment; 7. Staying in bad job due to seniority; 8. Persisting in failing strategy due to prior investment; 9. Maintaining failing hobby due to equipment cost; 10. Continuing course due to prior payments.,1. Abandoning failing projects appropriately; 2. Leaving relationships when necessary; 3. Cutting losses decisively; 4. Closing failing businesses; 5. Changing educational path if needed; 6. Selling losing stocks; 7. Changing jobs when necessary; 8. Pivoting strategies based on evidence; 9. Quitting unenjoyable hobbies; 10. Making rational continuation decisions.,They funded doomed project.,She stayed in failing relationship.,Managers doubled marketing spend.,Students stuck with wrong majors.,Teams extended bad contracts.,They changed course.,She left relationship.,Managers pivoted.
,Irrational escalation,Increasing commitment despite evidence of failure.,,1. Raising bid in auction despite escalating cost; 2. Adding resources to failing project; 3. Increasing investment in losing strategy; 4. Doubling down on failing approach; 5. Intensifying effort despite deteriorating results; 6. Committing more resources to failing initiative; 7. Escalating involvement in losing situation; 8. Investing more in failed relationship; 9. Increasing risk-taking after losses; 10. Doubling effort on failing goal.,1. De-escalating commitment appropriately; 2. Stopping when evidence warrants; 3. Withdrawing from losing situations; 4. Accepting sunk costs; 5. Reducing effort on failing approaches; 6. Reallocating resources from failures; 7. Withdrawing from losing positions; 8. Recognizing relationships aren't working; 9. Reducing risk after losses; 10. Stopping failing efforts.,He kept betting losses.,She added money to scam.,Companies expanded failing branches.,Students repeated mistakes.,Gamblers chased losses.,He stopped betting.,She reported scam.,Companies closed branches.
,Sunk cost fallacy,Persisting because past costs cannot be recovered.,,1. Staying in bad movie because of ticket cost; 2. Eating bad meal because you paid; 3. Continuing program due to tuition paid; 4. Staying in investment due to prior loss; 5. Completing wasteful project because started; 6. Reading bad book because you bought it; 7. Remaining in bad job due to time invested; 8. Maintaining relationship due to years invested; 9. Finishing unenjoyable hobby due to equipment cost; 10. Continuing unprofitable business due to prior investment.,1. Leaving bad movie despite cost; 2. Discarding bad meal; 3. Switching programs despite tuition; 4. Selling losing investments; 5. Stopping wasteful projects; 6. Abandoning bad books; 7. Leaving bad jobs; 8. Ending failed relationships; 9. Quitting unenjoyable hobbies; 10. Closing failing businesses.,He finished terrible movie.,She stayed in boring class.,Travelers endured awful tours.,Players kept losing games.,Businesses kept outdated software.,He left theater.,She dropped class.,Travelers changed plans.
Motivated to keep autonomy and status in a group,,,,,,,,,,,,,
,Status quo bias,Preference for maintaining current conditions even when better alternatives exist.,,1. Staying with poor insurance despite better options; 2. Not switching banks despite better rates; 3. Maintaining inefficient processes despite better methods; 4. Keeping bad job despite better opportunity; 5. Staying with unsatisfactory relationship despite alternatives; 6. Not upgrading software despite improvements; 7. Maintaining old phone despite better model; 8. Not switching doctors despite better reputation; 9. Keeping bad contract despite exit option; 10. Maintaining ineffective treatment despite alternatives.,1. Switching to better insurance; 2. Moving to better bank; 3. Adopting better processes; 4. Taking better job opportunity; 5. Ending unsatisfactory relationship; 6. Upgrading software for improvements; 7. Getting new phone when beneficial; 8. Switching to better doctor; 9. Renegotiating bad contracts; 10. Adopting better treatments.,People keep default phone settings despite knowing more efficient options exist.,Voters support existing policies simply because they are familiar.,Employees stay in inefficient workflows rather than adopting new systems.,Investors hold losing stocks to avoid changing their portfolios.,Users resist software updates despite promised performance improvements.,Company proactively replaces old systems after objectively comparing performance benefits.,Individual switches habits easily when presented clear evidence of improvement.,Voters support reforms despite comfort with existing arrangements.
,Social comparison bias,Judging oneself or decisions by comparison with others instead of absolutes.,,1. Feeling poor comparing salary to wealthier friend; 2. Questioning intelligence comparing to smarter colleague; 3. Doubting career path comparing to peer's success; 4. Feeling unattractive comparing to better-looking friend; 5. Questioning life choices comparing to peer achievements; 6. Feeling unsuccessful comparing to high-achieving peer; 7. Doubting parenting comparing to peer parent; 8. Questioning fitness comparing to athletic friend; 9. Doubting skill level comparing to expert; 10. Feeling inadequate comparing to successful peer.,1. Evaluating yourself by absolute standards; 2. Recognizing salary adequacy independent of others; 3. Assessing intelligence objectively; 4. Evaluating career by personal goals; 5. Assessing attractiveness independently; 6. Defining success personally; 7. Measuring achievement by own standards; 8. Evaluating parenting by own goals; 9. Assessing fitness independently; 10. Evaluating skills against personal benchmarks.,Student feels unsuccessful despite high grades because peers scored higher.,Employee undervalues promotion after comparing salary with coworkers.,Athlete feels inadequate after comparing performance to elite professionals.,Person buys luxury goods to match friends’ lifestyles.,Researcher dismisses work because colleagues publish in higher journals.,"Student evaluates success based on personal improvement, not classmates’ results.",Employee values promotion according to goals rather than peer salaries.,Athlete focuses on progress relative to past performances.
,Decoy effect,Preference shifts toward option made attractive by an inferior comparison.,,1. Choosing more expensive option when decoy added; 2. Preferring middle option because of extreme alternative; 3. Selecting higher-priced item due to comparison; 4. Choosing option made attractive by inferior choice; 5. Shifting preference due to third option; 6. Selecting higher-cost restaurant due to decoy; 7. Choosing higher-cost product due to comparison; 8. Preferring option made better by inferior alternative; 9. Selecting more expensive plan due to decoy; 10. Shifting choice due to third option introduction.,1. Consistent preferences independent of alternatives; 2. Stable choice across different contexts; 3. Rational preference ordering; 4. Consistent valuation; 5. Preferences independent of decoys; 6. Rational restaurant selection; 7. Consistent product preferences; 8. Stable preferences; 9. Consistent plan selection; 10. Independent preference evaluation.,Customers choose medium popcorn when overpriced large option is introduced.,Shoppers select mid-tier subscription after seeing an obviously worse alternative.,Diners order second-most-expensive wine due to extreme high-priced decoy.,Consumers prefer bundle once weaker bundle is added.,Buyers choose premium phone when low-value model is displayed.,Customer compares absolute value instead of relative positioning.,Shopper ignores decoy and selects cheapest suitable option.,"Diner evaluates wine based on taste, not price framing."
,Reverse psychology,Influencing behavior by suggesting the opposite of desired action.,,1. Wanting to play forbidden video game; 2. Wanting something you're told you can't have; 3. Doing opposite of parent's suggestion; 4. Rebelling against restrictions; 5. Wanting forbidden fruit more; 6. Reacting against authority suggestion; 7. Wanting restricted item more; 8. Rebelling against pressure; 9. Wanting opposite of recommendation; 10. Reacting against stated wish.,"1. Following good advice regardless of delivery; 2. Accepting reasonable restrictions; 3. Following parental guidance; 4. Accepting appropriate rules; 5. Avoiding contraband rationally; 6. Respecting authority guidance; 7. Choosing based on merit, not restriction; 8. Accepting reasonable pressure; 9. Following good recommendations; 10. Acting based on reason.","Parent tells child not to clean room, triggering immediate cleaning.","Coach doubts player’s readiness, motivating improved performance.",Advertiser discourages purchase to increase perceived desirability.,"Teacher warns assignment is too difficult, increasing student effort.","Friend suggests skipping event, making others more eager to attend.",Child accepts suggestion and leaves room messy.,Player loses confidence after coach’s discouraging remarks.,Consumer avoids product after negative messaging.
,Reactance,Resistance arising when individuals feel their freedom of choice threatened.,,1. Wanting forbidden option more intensely; 2. Rejecting advice when delivered as demand; 3. Opposing restriction with increased intensity; 4. Resisting pressure by doubling down; 5. Rebelling against mandates; 6. Wanting restricted item more; 7. Opposing imposed choices; 8. Resisting rules through circumvention; 9. Wanting opposite of demand; 10. Resisting control through rebellion.,1. Accepting reasonable restrictions; 2. Following good advice gracefully; 3. Respecting necessary limits; 4. Responding to persuasion; 5. Following appropriate mandates; 6. Rational choice-making; 7. Accepting beneficial constraints; 8. Following rules voluntarily; 9. Following reasonable guidance; 10. Autonomous but cooperative choices.,Teenagers want forbidden activities more after strict parental bans.,Employees resist mandatory policies even if beneficial.,Consumers dislike products heavily pushed by aggressive advertising.,People reject advice when phrased as commands.,Students oppose rules limiting expression.,Individual calmly accepts restrictions explained with clear reasoning.,Employee follows policy after understanding its necessity.,Consumer appreciates recommendations framed as options.
,System justification,Tendency to defend and legitimize existing social,,1. Defending status quo despite disadvantages; 2. Justifying inequality as natural; 3. Legitimizing existing power structures; 4. Believing current system is fair despite evidence; 5. Defending current economic system; 6. Justifying social hierarchies; 7. Supporting existing political system; 8. Believing current system is best despite problems; 9. Defending institutional structures; 10. Rationalizing existing arrangements.,1. Critically evaluating existing systems; 2. Questioning status quo; 3. Recognizing systemic inequality; 4. Acknowledging system unfairness; 5. Considering economic alternatives; 6. Recognizing social hierarchy problems; 7. Evaluating political systems critically; 8. Acknowledging system problems; 9. Questioning institutional necessity; 10. Proposing systemic improvements.,Workers justify unfair wages as necessary for economic stability.,Citizens defend unequal systems as natural or deserved.,Employees blame themselves instead of flawed organizational structures.,Marginalized groups accept stereotypes reinforcing existing hierarchies.,Voters rationalize corruption as unavoidable.,Workers question wage inequality using data and ethical reasoning.,Citizens challenge systems producing persistent unfair outcomes.,Employees identify structural issues instead of self-blame.
Favor simple-looking options & complete information,,,,,,,,,,,,,
,Less-is-better effect,Smaller quantities judged more valuable when evaluated separately from larger ones.,,1. Single gift valued higher than gift from set; 2. Small portion priced higher than large portion; 3. Individual item valued more than multi-pack; 4. Single copy valued higher than bulk; 5. Valuing small quantity more; 6. Preferring single item over bundle; 7. Valuing exclusive item more; 8. Single piece valued more highly; 9. Limited quantity seems more valuable; 10. Small size commands higher price.,1. Proportional valuation; 2. Bundle pricing fair; 3. Size-appropriate pricing; 4. Consistent value assessment; 5. Fair quantity pricing; 6. Value by size fairly; 7. Bulk pricing advantageous; 8. Consistent valuation; 9. Size reflects value; 10. Price proportional to quantity.,People prefer one perfect cookie over several imperfect ones.,Shoppers value a pristine gift set over larger damaged bundle.,Donors give more to single compelling story than statistics.,Recruiters favor concise resumes over longer detailed ones.,Buyers prefer fewer high-quality items.,Evaluator compares options jointly and chooses greater total value.,Shopper prefers larger bundle after inspecting overall utility.,Donor considers statistical impact alongside emotional appeal.
,Occam's razor,Preference for simpler explanations when multiple plausible explanations exist.,,1. Assuming simple explanation despite complexity; 2. Preferring obvious answer despite evidence; 3. Choosing simple theory over complex; 4. Assuming minimal factors in complex situation; 5. Simplifying explanation inappropriately; 6. Dismissing complex explanation for simple; 7. Assuming fewest variables explain; 8. Preferring obvious cause; 9. Simplifying inappropriately; 10. Dismissing evidence-supported complexity.,1. Accepting complex explanations when warranted; 2. Understanding complex situations require complex explanation; 3. Incorporating multiple variables when necessary; 4. Following evidence regardless of complexity; 5. Accepting necessary complication; 6. Valuing accurate explanation over simple; 7. Considering multiple factors; 8. Evidence-based explanation; 9. Appropriate explanation complexity; 10. Complexity accepted when necessary.,Doctor favors common diagnosis over rare disease initially.,Engineer chooses straightforward design instead of complex alternative.,Analyst explains trend using fewer assumptions.,Student solves problem with simplest valid formula.,Investigator suspects simplest motive first.,Doctor investigates rare condition despite simpler explanations.,Engineer adopts complex design because data demands it.,Analyst includes multiple interacting factors.
,Conjunction fallacy,Assuming specific combined events are more probable than single events.,,1. Believing 'woman who's a feminist AND works' more likely than 'woman who works'; 2. Assuming 'person with glasses AND intelligent' more likely than 'intelligent person'; 3. Believing 'person who reads AND educated' more probable than 'educated'; 4. Thinking 'engineer who listens to music' more likely than 'engineer'; 5. Assuming 'sympathetic AND activist' more likely than just 'sympathetic'; 6. Believing detailed scenario more likely than basic scenario; 7. Assuming multiple attributes more probable than single; 8. Thinking conjunction more likely; 9. Assessing detailed scenario as more probable; 10. Believing specificity increases probability.,1. Understanding conjunction reduces probability; 2. Recognizing specific less likely than general; 3. Knowing 'and' makes less probable; 4. Understanding logical probability; 5. Grasping that multiple conditions reduce likelihood; 6. Basic scenario more probable; 7. Recognizing specificity decreases probability; 8. Understanding logical probability correctly; 9. Assessing compound probability correctly; 10. Recognizing adding conditions reduces probability.,People believe detailed personality plus job description is more likely.,Jury assumes suspect committed multiple related crimes.,Readers judge complex story more realistic than simple explanation.,Investors expect startup to succeed in multiple ambitious markets.,Students think specific scenario is likelier than general one.,Person correctly identifies single event as more probable.,Jury evaluates probabilities independently for each claim.,Reader prefers simpler explanation as statistically likelier.
,Delmore effect,Short tasks perceived longer when broken into multiple segments.,,1. 30-minute task feels longer split into 10-min segments; 2. Single hour feels shorter than divided hour; 3. Broken task feels longer than continuous; 4. Segmented work feels more time-consuming; 5. Multiple short sessions feel longer; 6. Interrupted task feels longer; 7. Task in segments perceived as longer; 8. Fragmented work feels time-intensive; 9. Break points make task feel longer; 10. Divided task perceived as lengthier.,1. Segmented work feels appropriately timed; 2. Multiple sessions feel efficient; 3. Breaks refresh perception; 4. Divided task feels manageable; 5. Segmentation improves perception; 6. Appropriate time assessment; 7. Breaks don't distort perception; 8. Divided work feels productive; 9. Segmentation aids focus; 10. Multiple sessions feel reasonable.,Workers overestimate time for checklist with many small steps.,Students dread assignments divided into many subtasks.,Commuters feel trip longer when counting stops.,Gamers perceive missions longer when subdivided.,Runners feel workout longer with segmented intervals.,"Worker estimates time based on total duration, not steps.",Student sees subtasks as manageable chunks.,Commuter ignores stops and tracks total time.
,Law of Triviality,Disproportionate focus on trivial issues while ignoring important matters.,,1. Spending hours debating office paint color while ignoring policy; 2. Focusing on logo minutiae while missing business strategy; 3. Debating lunch room details while ignoring budget crisis; 4. Extensive discussion of font choice while missing major decisions; 5. Focusing on meeting room setup while ignoring agenda; 6. Debating snack options while ignoring important decisions; 7. Extensive format discussion while missing content; 8. Focusing on presentation aesthetics while ignoring substance; 9. Debating trivial details extensively; 10. Ignoring important while debating minor.,1. Focusing on important issues; 2. Proportional attention allocation; 3. Appropriate prioritization; 4. Ignoring trivial details; 5. Focusing on substance; 6. Strategic focus; 7. Important decisions prioritized; 8. Appropriate emphasis; 9. Content over format priority; 10. Rational attention distribution.,Team debates logo color while ignoring system architecture.,Meeting fixates on formatting instead of strategy.,Committee argues about parking rather than budget allocation.,"Developers discuss variable names, delaying core logic.",Board obsesses over minor expenses.,Team prioritizes architecture before discussing cosmetic details.,Meeting focuses on strategy over formatting.,Committee allocates budget before minor logistics.
,Belief bias,Judging arguments by believability rather than logical validity.,,1. Accepting logically invalid argument because conclusion is true; 2. Rejecting logically valid argument because conclusion is false; 3. Judging argument by outcome believability not logic; 4. Accepting illogical argument supporting belief; 5. Rejecting valid argument contradicting belief; 6. Reasoning based on beliefability; 7. Invalid argument accepted if conclusion supported; 8. Valid argument rejected if conclusion contradicts belief; 9. Logical fallacy accepted when agreeable; 10. Sound reasoning rejected when disagreeable.,1. Evaluating argument validity logically; 2. Accepting valid arguments regardless of conclusion; 3. Rejecting invalid arguments regardless of conclusion; 4. Logical assessment independent of belief; 5. Separating validity from believability; 6. Sound reasoning accepted; 7. Logical fallacy rejected; 8. Form over outcome assessment; 9. Reason-based conclusion evaluation; 10. Logic-based argument assessment.,People accept flawed reasoning because conclusion feels true.,Jurors trust arguments matching personal beliefs.,Students mark incorrect proofs as correct due to familiar outcomes.,Readers accept misinformation aligning with prior views.,Debaters favor agreeable conclusions.,Person evaluates logic even when conclusion seems false.,Juror separates evidence from personal beliefs.,Student checks proof steps carefully.
,Bike-shedding effect,Over-discussing minor details while neglecting complex important decisions.,,1. Extended debate on coffee machine color while ignoring infrastructure; 2. Focusing on parking lot design while missing building strategy; 3. Extensive office decor discussion while ignoring major decisions; 4. Detailed snack discussion while missing important policy; 5. Focusing on meeting time while ignoring agenda; 6. Extensive format debate while missing substance; 7. Color scheme discussion dominating while strategy ignored; 8. Minor detail debate consuming time; 9. Trivial topic extensive discussion; 10. Important decisions deferred for minor.,1. Appropriate meeting focus; 2. Important priorities discussed; 3. Efficient use of time; 4. Substance over format; 5. Strategic decisions prioritized; 6. Logical agenda; 7. Important content focused; 8. Proportional discussion time; 9. Trivial items briefly discussed; 10. Important matters thoroughly covered.,Team spends hours on UI colors ignoring backend scalability.,Managers argue font choice instead of project risks.,Group debates lunch options during critical planning.,Engineers fixate on comments rather than algorithms.,Committee discusses naming instead of objectives.,Team addresses scalability before aesthetic preferences.,Managers focus on risks first.,Group completes planning before minor decisions.
,Rhyme as reason effect,Rhyming statements perceived as more truthful or persuasive.,,1. 'Correlation ≠ causation' seems more true due to rhyme; 2. Rhyming ad claim seems more believable; 3. Poetic statement more persuasive; 4. Rhymed message more memorable; 5. Verse statement seems truer; 6. Rhyming slogan more persuasive; 7. Poetic phrasing seems more valid; 8. Rhythmic statement seems true; 9. Rhymed claim more believable; 10. Verse message more persuasive.,1. Content validity independent of rhyme; 2. Non-rhymed statement equally true; 3. Prose argument equally persuasive; 4. Truth independent of rhythm; 5. Logical argument without rhyme; 6. Unpoetic statement equally valid; 7. Straightforward claim equally true; 8. Arrhythmic statement valid; 9. Non-rhymed claim believable; 10. Plain language persuasive.,Slogans like no pain no gain feel convincing.,Rhyming advice is remembered and trusted more.,Jurors find rhymed arguments more credible.,Advertisements use rhymes to increase persuasion.,Proverbs rhyme to sound wise.,Listener evaluates content regardless of rhyme.,Juror focuses on evidence over phrasing.,Consumer distrusts catchy rhyming slogans.
,Information bias,Seeking additional information even when it does not improve decisions.,,1. Continuously researching despite having sufficient information; 2. Seeking more data when decision already clear; 3. Gathering information beyond decision needs; 4. Researching obsessively despite having answer; 5. Collecting data when direction obvious; 6. Over-investigating simple decision; 7. Excessive research paralysis; 8. Seeking information not affecting outcome; 9. Analysis beyond decision requirements; 10. Information gathering beyond necessity.,1. Seeking information when needed; 2. Deciding with sufficient information; 3. Appropriate research duration; 4. Information gathering improving decisions; 5. Stopping research appropriately; 6. Efficient information use; 7. Making timely decisions; 8. Relevant information priority; 9. Acting on available knowledge; 10. Proportional research effort.,Doctors order unnecessary tests despite clear diagnosis.,Managers request more reports delaying action.,Students over-research simple assignments.,Investors seek excessive data before obvious decisions.,Analysts collect metrics without impact.,Doctor decides confidently with sufficient evidence.,Manager acts once key data is available.,Student completes task without unnecessary research.
,Ambiguity bias,Avoiding options with unknown probabilities in favor of known risks.,,1. Choosing known 50% risk over unknown probability option; 2. Avoiding investment with unclear odds; 3. Selecting known 30% failure over uncertain alternative; 4. Preferring definite risk to ambiguous; 5. Avoiding unclear situation; 6. Choosing known option despite worse odds; 7. Ambiguous option avoidance; 8. Preferring transparent risk; 9. Known bad over unknown; 10. Avoiding uncertainty despite potentially better outcome.,1. Accepting unknown probability rationally; 2. Taking calculated risks; 3. Investing despite ambiguity; 4. Unknown risk acceptance; 5. Rational uncertainty acceptance; 6. Exploring unclear options; 7. Ambiguous option consideration; 8. Unknown probability acceptance; 9. Ratio favoring taken despite uncertainty; 10. Uncertainty tolerance when warranted.,Investors prefer bonds over unfamiliar startups.,People choose known brands instead of new ones.,Gamblers avoid games with unclear odds.,Employees avoid innovative roles with uncertain outcomes.,Consumers reject unfamiliar technologies.,Investor accepts uncertainty for higher expected returns.,Consumer tries new brand despite unknown quality.,Gambler evaluates expected value despite ambiguity.
